V2,V4,X
ZBTB33,MTRNR2L1,1.904115e-02
ZBTB33,MTRNR2L8,1.903428e-02
ZBTB33,LRPPRC,3.502430e-02
ZBTB33,POP7,7.500000e-05
ZBTB33,LAMC3,2.948700e-04
ZBTB33,DCTN2,4.602038e-03
ZBTB33,CCT8,2.192320e-04
ZBTB33,SRSF10,4.793881e-03
ZBTB33,RCC1,1.344936e-03
ZBTB33,HHLA3,4.403870e-04
ZBTB33,NUDT3,6.375987e-03
ZBTB33,AKAP11,2.598455e-03
ZBTB33,CASC4,2.306552e-03
ZBTB33,TUBGCP5,4.436549e-03
ZBTB33,UHRF2,2.261919e-03
ZBTB33,SLC26A8,4.328260e-04
ZBTB33,CFAP70,7.342240e-03
ZBTB33,SLC15A4,2.795626e-03
ZBTB33,LRRC28,1.656190e-03
ZBTB33,CYB5D1,3.622720e-04
ZBTB33,SLX4IP,9.310330e-04
ZBTB33,TMEM18,2.173420e-04
ZBTB33,TTC32,1.493980e-04
ZBTB33,MDH1B,5.846550e-04
ZBTB33,COX7B,1.576238e-03
ZBTB33,COX11,4.731419e-03
ZBTB33,ATF2,2.102078e-02
ZBTB33,CRKL,3.140116e-03
ZBTB33,NANP,3.622720e-04
ZBTB33,MAPK14,7.641860e-04
ZBTB33,YDJC,1.430400e-04
ZBTB33,ZNF595,7.500000e-05
ZBTB33,ASXL1,9.741919e-03
ZBTB33,ECHS1,1.494334e-03
ZBTB33,SCAMP5,1.039554e-02
ZBTB33,EGR1,1.430400e-04
ZBTB33,ZFC3H1,4.457382e-02
ZBTB33,EPB41L2,7.599313e-03
ZBTB33,ETFB,1.939359e-02
ZBTB33,EZH2,7.500000e-05
ZBTB33,C6orf89,2.719638e-02
ZBTB33,FGL1,2.222030e-03
ZBTB33,PUF60,2.602250e-04
ZBTB33,FASTKD2,1.424136e-03
ZBTB33,TNRC6B,2.186394e-03
ZBTB33,GGA3,1.494334e-03
ZBTB33,PPIP5K2,1.277789e-02
ZBTB33,SMG5,4.135361e-03
ZBTB33,MAU2,6.391241e-03
ZBTB33,RPL13A,4.034757e-02
ZBTB33,ZNF346,2.904922e-02
ZBTB33,SDF2L1,2.692373e-02
ZBTB33,PPIL2,1.090832e-03
ZBTB33,ABL1,1.655223e-03
ZBTB33,STXBP4,4.930524e-03
ZBTB33,MMS22L,2.501638e-03
ZBTB33,ZNF718,7.010760e-04
ZBTB33,YIPF3,1.344936e-03
ZBTB33,NOL11,3.958674e-02
ZBTB33,RNF167,2.189897e-03
ZBTB33,GORASP2,8.148738e-03
ZBTB33,ZZZ3,4.042007e-03
ZBTB33,FGFR1OP2,4.612371e-03
ZBTB33,GAS8,9.462128e-03
ZBTB33,SNX5,3.540355e-03
ZBTB33,RSPH14,2.457372e-02
ZBTB33,LSM3,1.134777e-02
ZBTB33,FAM200B,3.388253e-03
ZBTB33,GRK4,3.165800e-03
ZBTB33,YPEL1,1.961783e-03
ZBTB33,GMPPA,7.500000e-05
ZBTB33,HNRNPH3,1.773003e-03
ZBTB33,HSBP1,3.519566e-03
ZBTB33,HSPA4,1.119286e-02
ZBTB33,ACADSB,1.187121e-03
ZBTB33,IREB2,3.073827e-03
ZBTB33,ERCC6L2,3.804698e-03
ZBTB33,LAMP1,1.099338e-03
ZBTB33,MDH2,3.191873e-03
ZBTB33,RPL10A,1.720828e-03
ZBTB33,NKTR,8.014293e-03
ZBTB33,PRDX1,7.032902e-03
ZBTB33,MRPS7,2.621978e-03
ZBTB33,DNAJC27,1.922759e-03
ZBTB33,ERGIC2,2.283155e-03
ZBTB33,ANKFY1,1.010711e-02
ZBTB33,SRRT,3.290854e-03
ZBTB33,LUC7L2,1.945940e-04
ZBTB33,STYXL1,2.034991e-03
ZBTB33,CDK12,6.780175e-03
ZBTB33,PFKFB2,1.617434e-03
ZBTB33,PFN1,1.028118e-02
ZBTB33,PI4KA,2.870779e-03
ZBTB33,PNN,1.461608e-02
ZBTB33,POLR2E,3.001360e-04
ZBTB33,NLE1,5.846550e-04
ZBTB33,RC3H2,2.198424e-03
ZBTB33,MAP10,1.430400e-04
ZBTB33,WDR74,7.500000e-05
ZBTB33,MED1,2.792080e-04
ZBTB33,QRICH1,2.656110e-03
ZBTB33,DCAF16,1.305896e-02
ZBTB33,SPDL1,7.500000e-05
ZBTB33,TIPIN,2.651036e-03
ZBTB33,BANP,4.303973e-03
ZBTB33,THAP1,2.566076e-03
ZBTB33,PPP2R5C,5.864619e-03
ZBTB33,ANKRD30BL,6.635000e-04
ZBTB33,YOD1,1.885473e-03
ZBTB33,NBPF1,4.604160e-03
ZBTB33,PRKCB,1.194198e-03
ZBTB33,DCAF6,1.113342e-02
ZBTB33,CAND1,4.534620e-04
ZBTB33,MAPK1,3.289616e-03
ZBTB33,MAP2K2,7.430000e-05
ZBTB33,TEX15,1.789204e-03
ZBTB33,COQ9,2.283155e-03
ZBTB33,CIAPIN1,1.726976e-03
ZBTB33,PSMD5,2.365454e-03
ZBTB33,KIAA1191,2.410001e-03
ZBTB33,PPP4R3B,1.044094e-03
ZBTB33,FAM135A,9.171543e-03
ZBTB33,PTPN4,1.166725e-02
ZBTB33,SUGP1,5.100080e-04
ZBTB33,RFC5,2.457372e-02
ZBTB33,ACTB,2.153857e-02
ZBTB33,PPCDC,7.311680e-04
ZBTB33,NAA35,2.886455e-02
ZBTB33,BCR,4.492318e-03
ZBTB33,RPL7A,4.292761e-03
ZBTB33,RPL12,6.527311e-02
ZBTB33,RPL23A,2.243611e-02
ZBTB33,RPS2,3.394378e-02
ZBTB33,RPS6,2.741746e-02
ZBTB33,RPS7,1.041621e-02
ZBTB33,RPS11,1.263805e-02
ZBTB33,RPS15A,5.087199e-03
ZBTB33,RPS19,3.073497e-02
ZBTB33,RPS28,2.830812e-02
ZBTB33,RXRB,1.493980e-04
ZBTB33,THADA,1.190810e-02
ZBTB33,NSUN3,1.872574e-03
ZBTB33,GPATCH3,5.796140e-04
ZBTB33,TRAPPC2,1.961783e-03
ZBTB33,PBLD,3.644134e-03
ZBTB33,IKZF5,7.078079e-03
ZBTB33,RBM15,8.090170e-04
ZBTB33,STX5,9.807870e-04
