V2,V4,X
ZBTB33,MTRNR2L1,0.053700383
ZBTB33,MTRNR2L8,0.007843089
ZBTB33,LRPPRC,0.109794382
ZBTB33,POP7,0.099746224
ZBTB33,LAMC3,0.070755051
ZBTB33,DCTN2,0.163408854
ZBTB33,CCT8,0.075964233
ZBTB33,SRSF10,0.078430291
ZBTB33,RCC1,0.056230813
ZBTB33,HHLA3,0.076721968
ZBTB33,NUDT3,0.028052610
ZBTB33,AKAP11,0.034062172
ZBTB33,CASC4,0.118990285
ZBTB33,TUBGCP5,0.016717300
ZBTB33,UHRF2,0.163207366
ZBTB33,SLC26A8,0.185921238
ZBTB33,CFAP70,0.140098729
ZBTB33,SLC15A4,0.223148647
ZBTB33,LRRC28,0.042563748
ZBTB33,CYB5D1,0.062230001
ZBTB33,SLX4IP,0.283406027
ZBTB33,TMEM18,0.158636172
ZBTB33,TTC32,0.132793648
ZBTB33,MDH1B,0.031160377
ZBTB33,COX7B,0.026024472
ZBTB33,COX11,0.028629923
ZBTB33,ATF2,0.032726496
ZBTB33,CRKL,0.058046221
ZBTB33,NANP,0.049976970
ZBTB33,ZNF280B,0.268228136
ZBTB33,MAPK14,0.146782724
ZBTB33,YDJC,0.278032835
ZBTB33,ZNF595,0.108360142
ZBTB33,ASXL1,0.002317777
ZBTB33,ECHS1,0.041272259
ZBTB33,SCAMP5,0.019604476
ZBTB33,EGR1,0.039464670
ZBTB33,ZFC3H1,0.199368683
ZBTB33,EPB41L2,0.085146554
ZBTB33,ETFB,0.084543485
ZBTB33,EZH2,0.000081400
ZBTB33,C6orf89,0.095964444
ZBTB33,FGL1,0.099372956
ZBTB33,PUF60,0.035607301
ZBTB33,FASTKD2,0.143276815
ZBTB33,TNRC6B,0.155866903
ZBTB33,GGA3,0.152552857
ZBTB33,PPIP5K2,0.044743672
ZBTB33,SMG5,0.070566898
ZBTB33,MAU2,0.053648238
ZBTB33,RPL13A,0.128084223
ZBTB33,ZNF346,0.120016479
ZBTB33,SDF2L1,0.142370189
ZBTB33,PPIL2,0.064459475
ZBTB33,ABL1,0.065844547
ZBTB33,STXBP4,0.195627643
ZBTB33,MMS22L,0.076195066
ZBTB33,ZNF718,0.221656890
ZBTB33,YIPF3,0.101607346
ZBTB33,NOL11,0.081228921
ZBTB33,RNF167,0.086381089
ZBTB33,GORASP2,0.154740025
ZBTB33,ZZZ3,0.102499809
ZBTB33,FGFR1OP2,0.078610028
ZBTB33,GAS8,0.048118700
ZBTB33,SNX5,0.086890833
ZBTB33,RSPH14,0.072168146
ZBTB33,LSM3,0.140313630
ZBTB33,FAM200B,0.169197938
ZBTB33,GRK4,0.055371674
ZBTB33,YPEL1,0.028564211
ZBTB33,GMPPA,0.220274548
ZBTB33,HNRNPH3,0.254368964
ZBTB33,HSBP1,0.214184816
ZBTB33,HSPA4,0.041178614
ZBTB33,ACADSB,0.077575933
ZBTB33,IREB2,0.120981487
ZBTB33,ERCC6L2,0.257522757
ZBTB33,LAMP1,0.212495173
ZBTB33,MDH2,0.019283800
ZBTB33,RPL10A,0.114360573
ZBTB33,NKTR,0.151071720
ZBTB33,PRDX1,0.098030200
ZBTB33,MRPS7,0.114534334
ZBTB33,DNAJC27,0.146969480
ZBTB33,ERGIC2,0.016772836
ZBTB33,ANKFY1,0.066041558
ZBTB33,SRRT,0.075649159
ZBTB33,LUC7L2,0.142366767
ZBTB33,STYXL1,0.167063088
ZBTB33,CDK12,0.144180958
ZBTB33,PFKFB2,0.133294980
ZBTB33,PFN1,0.179234437
ZBTB33,PI4KA,0.037390141
ZBTB33,PNN,0.043440061
ZBTB33,POLR2E,0.131647128
ZBTB33,NLE1,0.016152793
ZBTB33,RC3H2,0.046071390
ZBTB33,MAP10,0.126817134
ZBTB33,WDR74,0.113030600
ZBTB33,MED1,0.014747066
ZBTB33,QRICH1,0.030450314
ZBTB33,DCAF16,0.069589987
ZBTB33,SPDL1,0.036619101
ZBTB33,TIPIN,0.206075439
ZBTB33,BANP,0.119023995
ZBTB33,THAP1,0.014348539
ZBTB33,PPP2R5C,0.079305555
ZBTB33,ANKRD30BL,0.026800571
ZBTB33,YOD1,0.045044301
ZBTB33,NBPF1,0.198726485
