V2,V4,X
ZBTB33,MTRNR2L1,5.527338e-02
ZBTB33,MTRNR2L8,1.036232e-01
ZBTB33,LRPPRC,1.530889e-01
ZBTB33,POP7,4.061546e-02
ZBTB33,LAMC3,3.176794e-02
ZBTB33,DCTN2,4.565220e-03
ZBTB33,CCT8,3.800740e-03
ZBTB33,SRSF10,1.653149e-01
ZBTB33,RCC1,2.535216e-02
ZBTB33,HHLA3,1.187995e-01
ZBTB33,NUDT3,4.340371e-02
ZBTB33,AKAP11,7.119480e-02
ZBTB33,CASC4,1.209348e-01
ZBTB33,TUBGCP5,7.302334e-02
ZBTB33,UHRF2,3.110148e-02
ZBTB33,SLC26A8,5.879946e-02
ZBTB33,CFAP70,2.989378e-02
ZBTB33,SLC15A4,4.108575e-02
ZBTB33,LRRC28,1.865534e-01
ZBTB33,CYB5D1,5.827201e-02
ZBTB33,SLX4IP,1.533469e-01
ZBTB33,TMEM18,1.336116e-01
ZBTB33,TTC32,1.357191e-01
ZBTB33,MDH1B,1.032348e-01
ZBTB33,COX7B,5.655194e-02
ZBTB33,COX11,4.994493e-02
ZBTB33,ATF2,1.136004e-01
ZBTB33,CRKL,8.082198e-02
ZBTB33,NANP,5.089783e-02
ZBTB33,ZNF280B,2.770147e-02
ZBTB33,MAPK14,1.146061e-01
ZBTB33,YDJC,3.168836e-02
ZBTB33,ZNF595,3.183795e-02
ZBTB33,ASXL1,9.550683e-03
ZBTB33,ECHS1,6.311135e-03
ZBTB33,SCAMP5,3.331997e-02
ZBTB33,EGR1,2.087454e-02
ZBTB33,ZFC3H1,7.335082e-02
ZBTB33,EPB41L2,7.731602e-02
ZBTB33,ETFB,9.934014e-02
ZBTB33,EZH2,2.420846e-02
ZBTB33,C6orf89,1.866034e-01
ZBTB33,FGL1,6.527087e-03
ZBTB33,PUF60,1.375990e-01
ZBTB33,FASTKD2,1.828956e-02
ZBTB33,TNRC6B,4.372823e-02
ZBTB33,GGA3,8.151604e-02
ZBTB33,PPIP5K2,1.333026e-01
ZBTB33,SMG5,9.428898e-02
ZBTB33,MAU2,1.719566e-01
ZBTB33,RPL13A,1.745131e-02
ZBTB33,ZNF346,1.150532e-01
ZBTB33,SDF2L1,6.335876e-02
ZBTB33,PPIL2,6.254835e-02
ZBTB33,ABL1,1.933310e-01
ZBTB33,STXBP4,5.190127e-02
ZBTB33,MMS22L,4.310525e-02
ZBTB33,ZNF718,1.871056e-01
ZBTB33,YIPF3,7.463700e-02
ZBTB33,NOL11,1.881934e-01
ZBTB33,RNF167,6.624504e-02
ZBTB33,GORASP2,1.008031e-02
ZBTB33,ZZZ3,7.285058e-02
ZBTB33,FGFR1OP2,4.409077e-02
ZBTB33,GAS8,2.188001e-02
ZBTB33,SNX5,6.914663e-02
